Abanderar To-Register 
Registrar To-register 
Huir To-run-away
Abrir To-open 
Incluir To-include
Aburrir To-bore 
Ir To-go
Acabar To-finish 
Jugar To-play
Aceptar To-accept
Lavar To-wash
Acordar To-do-something
Leer To-read
Acostar To-go-to-bed 
Levantar To-raise
Almorzar To-have-lunch 
Limpiar To-clean
Amar To-love 
Llamar To-call
Caminar To-walk 
Llenar To-fill
Apagar To-turn-off 
Llegar To-arrive
Aprender To-learn 
Llevar To-carry
Asistir To-assist
Llorar To-cry
Ayudar To-help 
Llover To-rain
Bailar To-dance 
Mandar To-order
Bajar To-go-down 
Manejar To-handle
Beber To-drink 
Mantener To-maintain
Buscar To-look-for 
Medir To-measure
Caber To-fit 
Mentir To-lie
Caer To-fall 
Mirar To-look-at
Cambiar To-change 
Morir To-die
Cantar To-sing 
Mostrar To-show
Casar To-marry 
Mover To-move
Cenar To-have-dinner
Nacer To-beborn
Cerrar To-close 
Nadar To-swim
Cocinar To-cook 
Necesitar To-need
Coger To-pick-up 
Obtener To-get
Comenzar To-begin 
Ofrecer To-offer
Comer To-eat 
Oir To-hear
Compartir To-share 
Oler To-smell
Comprar To-buy 
Olvidar To-forget
Comprender To-comprehend
Organizar To-organize
Conducir To-drive 
Pagar To-pay
Conocer To-meet
Parar To-stop
Conseguir To-obtain
Parecer To-look-like
Construir To-build
Pasar To-pass
Contar To-count  
Pedir To-ask
Corregir To-correct 
Pensar To-think
Correr To-run 
Perder To-lose
Cortar To-cut 
Permitir To-allow
Costar To-cost 
Poder To-be-able-to
Crear To-create 
Poner To-put
Crecer To-grow 
Practicar To-practice
Creer To-believe
Preferir To-prefer
Cruzar To-cross 
Preguntar To-ask-a-question
Cubrir To-cover 
Preparar To-prepare
Dar To-give 
Prestar To-lend
Deber Must 
Probar To-taste
Decidir To-decide 
Proteger To-protect
Decir To-say 
Quedar To-stay
Defender To-defend 
Quejar To-complain
Dejar To-leave 
Querer To-want
Desayunar To-have-breakfast 
Quitar To-take-off
Descubrir To-discover 
Recibir To-receive
Desear To-wish 
Despedir To-say-goodbye 
Recomendar To-recommend
Despertar To-wake-up 
Recordar To-remember
Destruir To-destroy 
Regresar To-come-back
Devolver To-return 
Reir To-laugh
Dirigir To-manage 
Repetir To-repeat
Divertir To-have-fun 
Resolver To-resolve
Doler To-hurt 
Rogar To-beg
Dormir To-sleep 
Romper To-break
Duchar To-take-a-shower 
Rezar To-pray
Echar To-throw
Tirar To-Throw
Lanzar To-Launch
Remar To-row
Elegir To-select
Saber To-know
Empezar To-start
Sacar To-take-out
Encantar To-love-something 
Salir To-depart
Encender To-light 
Secar To-dry
Encontrar To-find 
Seguir To-follow
Entender To-understand 
Sentar To-sit
Entrar To-enter
Sentir To-feel
Enviar To-send 
Ser To-be-permanent
Escoger To-choose 
Servir To-serve
Escribir To-write 
Sofreir To-fry
Escuchar To-listen 
Soler To-usually-do-something
Esperar To-wait 
Sonar To-sound
Estar To-be-nonpermanent
Sonreir To-smile
Estudiar To-study 
Subir To-climb
Exigir To-demand
Sugerir To-suggest
Explicar To-explain 
Sumergir To-submerge
Ganar To-win 
Tener To-have
Gastar To-spend 
Terminar To-end
Gustar To-like 
Tocar To-touch
Tomar To-take
Habilitar To-enable
Trabajar To-work
Habitar To-habit 
Traducir To-translate
Habituar To-adapt
Traer To-bring
Hablar To-speak 
Tratar To-try
Hacer To-make 
Usar To-use
Hackear To-hack 
Valer To-be-worth
Halagar To-flatter 
Velar To-guard
Hartar To-get-bored-of 
Vender To-sell
Helar To-freeze 
Venir To-come
Henchir To-fillup
Ver To-see
Herir To-wound
Vestir To-wear
Hervir To-boil 
Viajar To-travel
Hinchar To-swell 
Visitar To-visit
Hospedar To-accomidate
Vivir To-live
Hostigar To-pester 
Volar To-fly
Violar To-violate
Molestar To-bother
Estudiar To-study
Cerca Near 
Enfrente Front 
Encima On-top 
Arriba Above 
Adentro Inside 
Aqui Here 
Alli There 
Lejos Far 
Detras Behind 
Debajo Underneath 	
Abajo Below 
Afuera Outside 
Hoy Today 
Manana Tomorrow 
Anoche Last-night 
Anteanoche 2-nights-ago 
Recientemente Recently 
Brevemente Briefly
Diariamente Daily 
Todavia Yet
Nunca Never 
Ocasionalmente Occasionally
Ahora Now 
Ayer Yesterday 
Anteayer 2-days-ago
Previamente Previously 
Actualmente Currently 
Permanentemente Permanently 
Frecuentemente Frequently 
Ya Already 
Siempre Always 
Semanalmente Weekly 
Muy Very 
Mucho Alot 
Menos Less 
Algo Something 
Demasiado Too-much 
Poco Little 
Mas More 
Bastante Enough 
Nada Nothihg 
Bien Well 
Mejor Better 
Rapido Fast 
Rapidamente Quickly
Claramente Clearly	
Bellamente Beautifully
Ruidosamente Loudly
Dulcemente Sweetly
Seriamente Seriously
Asi Like-this
Mal Badly 
Peor Worse 
Lentamente Slowly
Inteligentemente Intelligently
Cuidadosamente Carefully
Tranquilamente Quietly
Estupendamente Stupendously
Voluntariamente Voluntarily
Facilmente Easily
Acaso Perhaps
Ademas Besides	
Adelante Go-ahead 
Alrededor Around 
A-menudo Often 
Antes Before 
En-lugar Rather 
Apenas As-soon-as 
Por-lo-tanto Hence 
Aun Still 
Todavia Yet 
Dentro Within 
Despues After 
En-breve Shortly	
Entonces Then 
Hacia Towards	
Hasta Until 
Mientras Meanwhile 
Ni Neither	
Pronto Soon 
Tal-vez Maybe	
Tan So
Tanto So-much 
Tarde Late 
Temprano Early 
Todos-los-dias Everyday 
Usualmente Usually	
Generalmente Generally 
De-vez-en-cuando From-time-to-time 
Mensualmente Monthly	
Pocas-veces Seldom
Anualmente Annually
Abierto	Open
Aburrido Boring
Afortunado Lucky
Agradable Pleasant
Alto Tall
Amable Kind
Amargo Bitter
Amigable Friendly
Ancho Wide
Apretado Tight
Bajo Low
Barato Cheap
Blando Soft
Bonito pretty
Bueno Good
Caro Expensive
Cerca Near
Cerrado	Closed 
Correcto Correct
Corto Brief
Delgado	Slim
Debil Weak
Desafortunado Unlucky
Desagradable Unpleasant
Dificil	Difficult  
Divertido Fun
Dulce Sweet
Duro Hard
Educado Polite
Emocionado Excited
Enfermo	sick
Enojado	Angry
Equivocado Wrong
Estrecho Narrow
Estupido Stupid
Excelente Excellent
Facil Easy
Falso False
Feliz Happy
Feo Ugly
Fino Thin
Frio Cold
Fuerte Strong
Generoso Generous
Gordo Fat
Grande Big
Grueso Thick
Hermoso	Beautiful
Holgado	Loose
Importante Important
Inteligente Intelligent
Interesante Interesting
Inutil	Useless
Joven Young
Largo Long
Lejos Far
Lento Slow
Ligero Light
Limpio Clean
Lleno Full
Loco Crazy
Luminoso Bright
Mal-educado Rude
Malo Bad
Mojado Wet
Muchos Many
Muerto Dead
Nuevo New
Oscuro Dark
Peligroso Dangerous
Pequeno	Small
Pesado Heavy
Petiso Short
Pobre Poor
Pocos Few
Preocupado Worried
Profundo Deep
Rapido Fast
Relajado Relaxed
Rico Rich
Ruidoso Loud
Seco Dry
Seguro Safe
Sin-importancia	Unimportant
Sucio Dirty
Superficial Shallow
Tacano Stingy
Tarde Late
Temprano Early
Terrible Terrible
Timido Shy
Tranquilo Quiet
Triste Sad
Util Useful
Vacio Empty
Verdadero True
Viejo Old
Vivo Alive
Respirar To-breathe
Fuego Fire
Arbol Tree
Ramita Stick
Pollo Chicken
Negro Black
Rojo Red
Azul Blue
Verde Green
Flora Plant
Simpatico Nice
Antipatico Mean
Calor Hot
Rosa Pink
Pelo Hair
Cuanto How-many
Hola Hello
Problema Problem
Hola Hello
Permiso Permission
